image,cozy,delicious,excited,gloomy,happy,lovely,ordinary,peaceful,sensitive,best_mood,best_score,label,match
lovely_02.jpg,0.025587764,0.03213884,0.47514555,0.028633388,0.090826966,0.07542095,0.096786834,0.03303928,0.14242041,excited,0.47514555,lovely,False
cozy_02.jpg,0.8805998,0.036220256,0.003015269,0.02658618,0.006449029,0.010305893,0.0072626304,0.026891774,0.0026691596,cozy,0.8805998,cozy,True
lovely_03.jpg,0.004028923,0.06253478,0.069569245,0.0007439337,0.10916487,0.18370284,0.04429671,0.42384732,0.10211136,peaceful,0.42384732,lovely,False
happy_01.jpg,0.0019860165,0.00329179,0.27633473,0.00038188868,0.5746878,0.060108986,0.032822367,0.030877193,0.019509172,happy,0.5746878,happy,True
happy_03.jpg,0.0006511427,0.009606764,0.18980396,0.0006120175,0.57321244,0.05749543,0.040042315,0.03389142,0.09468461,happy,0.57321244,happy,True
lovely_01.jpg,0.016687756,0.0049641803,0.04597165,0.0012344879,0.22594571,0.40045768,0.032579385,0.07687548,0.19528367,lovely,0.40045768,lovely,True
cozy_01.jpg,0.8142513,0.0014278165,0.0017973197,0.012734489,0.0063229706,0.015555761,0.0042206435,0.1414989,0.0021908984,cozy,0.8142513,cozy,True
happy_02.jpg,0.0026885516,0.0033743866,0.06428735,0.0001840069,0.78175646,0.054085113,0.011566719,0.03473007,0.047327444,happy,0.78175646,happy,True
lovely_04.jpg,0.0047199917,0.013792331,0.03693639,0.00081379135,0.2697099,0.4370315,0.014805792,0.11226017,0.10993023,lovely,0.4370315,lovely,True
happy_06.jpg,0.00063352933,0.002646219,0.14281014,4.6806483e-05,0.80125463,0.033534277,0.008545929,0.0044831964,0.0060452283,happy,0.80125463,happy,True
excited_01.jpg,0.0019389768,0.0063857096,0.23061237,0.00073462585,0.26651326,0.070753805,0.22974133,0.13997702,0.053342927,happy,0.26651326,excited,False
happy_07.jpg,0.33655348,0.014020721,0.051266205,0.0012457574,0.14325461,0.049407948,0.082610905,0.2648328,0.05680749,cozy,0.33655348,happy,False
lovely_05.jpg,0.069766186,0.0015580745,0.007775587,0.0039330497,0.031150885,0.082530335,0.056845143,0.6095724,0.13686836,peaceful,0.6095724,lovely,False
happy_05.jpg,0.13203068,0.007639626,0.14634241,0.0010325994,0.56207705,0.069493055,0.015802749,0.0105843,0.054997444,happy,0.56207705,happy,True
excited_03.jpg,0.00059159176,0.005159697,0.029369656,0.00063639873,0.24473044,0.18118513,0.06729029,0.42239603,0.048640743,peaceful,0.42239603,excited,False
excited_02.jpg,0.03175078,0.03508175,0.12746091,0.0022038356,0.30417776,0.15740374,0.107652284,0.2048086,0.029460376,happy,0.30417776,excited,False
happy_04.jpg,0.0019287219,0.13782574,0.07948828,0.0003303694,0.40800646,0.22514172,0.06040981,0.05524106,0.031627778,happy,0.40800646,happy,True
gloomy_02.jpg,0.0015259373,0.00067364983,0.0019383407,0.93615866,0.0019486571,0.012198672,0.0037924456,0.01473016,0.027033444,gloomy,0.93615866,gloomy,True
sensitive_02.jpg,0.0029089674,0.00076741684,0.008191644,0.0042997985,0.007479105,0.032580584,0.013016416,0.9202888,0.010467365,peaceful,0.9202888,sensitive,False
sensitive_03.jpg,0.0035441155,0.0019479915,0.008282483,0.034488168,0.054564074,0.054035354,0.06069313,0.7492761,0.033168655,peaceful,0.7492761,sensitive,False
gloomy_03.jpg,0.0031353785,0.008498315,0.012233443,0.7273231,0.00941243,0.13376467,0.003924336,0.082069166,0.019639203,gloomy,0.7273231,gloomy,True
gloomy_01.jpg,0.0005905171,0.03676671,0.21665022,0.0002327448,0.6517267,0.031548988,0.011333583,0.008704872,0.042445626,happy,0.6517267,gloomy,False
sensitive_01.jpg,0.02602098,0.011022221,0.13700205,0.0012449303,0.08280293,0.21962795,0.027561272,0.2802785,0.21443921,peaceful,0.2802785,sensitive,False
ordinary_02.jpg,0.05788918,0.08575398,0.09277806,0.0075812736,0.060764212,0.19164844,0.33981368,0.055784363,0.10798675,ordinary,0.33981368,ordinary,True
gloomy_04.jpg,0.032859374,0.00563406,0.043583523,0.16849008,0.014289908,0.04086889,0.07203603,0.5834482,0.03878995,peaceful,0.5834482,gloomy,False
ordinary_01.jpg,0.00039769948,0.013452942,0.15802288,0.018599546,0.07440237,0.13369673,0.28443873,0.09332574,0.22366342,ordinary,0.28443873,ordinary,True
peaceful_02.jpg,0.24882384,0.008029153,0.03353191,0.03556372,0.024432305,0.07268904,0.031292282,0.50711,0.038527768,peaceful,0.50711,peaceful,True
peaceful_01.jpg,0.002077149,0.0012270042,0.0031459962,0.0038468651,0.019041812,0.02494468,0.006713283,0.9263182,0.012684944,peaceful,0.9263182,peaceful,True
delicious_01.jpg,0.0009507406,0.72914696,0.046082757,0.00027018358,0.08865403,0.106413245,0.022021564,0.0048967595,0.0015638362,delicious,0.72914696,delicious,True
delicious_02.jpg,0.003100958,0.95264155,0.0021381443,0.00013024095,0.008264475,0.025026219,0.00787518,0.0007672848,5.5895547e-05,delicious,0.95264155,delicious,True
happy_08.jpg,0.00093104807,0.015013893,0.21041107,0.00080545066,0.55486816,0.10473798,0.038439706,0.05265401,0.022138705,happy,0.55486816,happy,True
match_rate,0.6129,,,,,,,,,,,match,False

match_rate,0.5938
