image,base_image,cozy,delicious,excited,gloomy,happy,lovely,ordinary,peaceful,sensitive,best_mood,best_score,label,match
happy_04_masked.jpg,happy_04,0.00403079137,0.038441113,0.09439115299999999,0.002464283663,0.173188918,0.308505032,0.06038376820000001,0.189955996,0.12863892,lovely,0.308505032,happy,False
gloomy_03_masked.jpg,gloomy_03,0.0032718463,0.008898603,0.012607868,0.7201369,0.009848841,0.13613836,0.003907099,0.08516121,0.020029344,gloomy,0.7201369,gloomy,True
lovely_04_masked.jpg,lovely_04,0.0046116314,0.013846687,0.037078213,0.000807033,0.26699167,0.44126913,0.014776457,0.11214979,0.108469404,lovely,0.44126913,lovely,True
peaceful_02_masked.jpg,peaceful_02,0.45816758900000004,0.0143978319,0.022838573299999994,0.0194567981,0.025945838399999997,0.072443747,0.025535337999999998,0.325788284,0.035425999799999996,cozy,0.45816758900000004,peaceful,False
excited_01_masked.jpg,excited_01,0.0019806377,0.0063115186,0.23307277,0.00073075836,0.26840997,0.0707047,0.22736207,0.13820963,0.05321793,happy,0.26840997,excited,False
lovely_01_masked.jpg,lovely_01,0.0351329713,0.00561139646,0.0543304434,0.015001821359999997,0.318407099,0.42379641500000004,0.030909805199999994,0.0315878253,0.085222253,lovely,0.42379641500000004,lovely,True
cozy_01_masked.jpg,cozy_01,0.51994255,0.023728340700000003,0.034939184000000005,0.0374480567,0.1455220087,0.108420431,0.0569774908,0.04075583419999999,0.0322661377,cozy,0.51994255,cozy,True
sensitive_01_masked.jpg,sensitive_01,0.029373199000000003,0.02168789,0.181279836,0.005650887129999999,0.0881610149,0.229861119,0.06695888529999999,0.10774334299999999,0.269283823,sensitive,0.269283823,sensitive,True
happy_01_masked.jpg,happy_01,0.0097466169,0.01008140055,0.217679959,0.006584320409999999,0.533961241,0.088864993,0.039544702699999996,0.0527339186,0.0408028726,happy,0.533961241,happy,True
happy_06_masked.jpg,happy_06,0.00407851079,0.012567836159999998,0.167687801,0.0021437654459999997,0.71060056,0.0398612401,0.027615060849999998,0.00698281982,0.028462412799999996,happy,0.71060056,happy,True
gloomy_01_masked.jpg,gloomy_01,0.0050919196,0.077826688,0.31366373700000005,0.004988992172999999,0.346892423,0.07799792300000001,0.04416358719999999,0.043845742699999996,0.085528969,happy,0.346892423,gloomy,False
excited_03_masked.jpg,excited_03,0.03633951172,0.0169670531,0.080434587,0.07934823480000001,0.240211763,0.116569963,0.274084936,0.08471295400000001,0.0713309796,ordinary,0.274084936,excited,False
ordinary_01_masked.jpg,ordinary_01,0.0018984019,0.042226465100000006,0.06965611919999999,0.0070927449299999995,0.233713358,0.34748135750000003,0.1564099,0.0193893229,0.1221323736,lovely,0.34748135750000003,ordinary,False
lovely_03_masked.jpg,lovely_03,0.00321577644,0.0970192399,0.075773067,0.0018336185749999998,0.089386597,0.272742997,0.0671764452,0.28947540400000005,0.103376795,peaceful,0.28947540400000005,lovely,False
gloomy_04_masked.jpg,gloomy_04,0.1126948312,0.019137838199999996,0.04697567080000001,0.12146704139999999,0.2185995034,0.15805296000000002,0.226796224,0.05232332989999999,0.043952616,ordinary,0.226796224,gloomy,False
delicious_01_masked.jpg,delicious_01,0.0010335413,0.71656036,0.046887327,0.00028046337,0.09389658,0.11211765,0.022547688,0.0051231603,0.0015532348,delicious,0.71656036,delicious,True
sensitive_03_masked.jpg,sensitive_03,0.017839369940000002,0.00706166109,0.012124145900000001,0.087655621,0.1455558326,0.132690732,0.103416401,0.297388742,0.196267527,peaceful,0.297388742,sensitive,False
happy_03_masked.jpg,happy_03,0.0015763484069999997,0.0108792074,0.196488185,0.00255063196,0.619471793,0.046212207,0.032679738,0.0215070663,0.06863483,happy,0.619471793,happy,True
