image,cozy,delicious,excited,gloomy,happy,lovely,ordinary,peaceful,sensitive,best_mood,best_score,label,match
happy_04_masked.jpg,0.021479659,0.09257128,0.29456657,0.016263656,0.12986794,0.18674216,0.036214396,0.09311245,0.12918189,excited,0.29456657,happy,False
gloomy_03_masked.jpg,0.0032718463,0.008898603,0.012607868,0.7201369,0.009848841,0.13613836,0.003907099,0.08516121,0.020029344,gloomy,0.7201369,gloomy,True
lovely_04_masked.jpg,0.0046116314,0.013846687,0.037078213,0.000807033,0.26699167,0.44126913,0.014776457,0.11214979,0.108469404,lovely,0.44126913,lovely,True
peaceful_02_masked.jpg,0.12978557,0.049111128,0.15315215,0.12140222,0.1644456,0.13796957,0.069975205,0.0772373,0.09692127,happy,0.1644456,peaceful,False
excited_01_masked.jpg,0.0019806377,0.0063115186,0.23307277,0.00073075836,0.26840997,0.0707047,0.22736207,0.13820963,0.05321793,happy,0.26840997,excited,False
lovely_01_masked.jpg,0.02622643,0.012665255,0.22481625,0.13541634,0.07943819,0.07107089,0.15663393,0.119211495,0.17452127,excited,0.22481625,lovely,False
cozy_01_masked.jpg,0.3746668,0.026847657,0.05967626,0.048046157,0.040902667,0.22046036,0.024302071,0.1488458,0.05625217,cozy,0.3746668,cozy,True
sensitive_01_masked.jpg,0.00911959,0.015961478,0.11128194,0.04608997,0.054303635,0.09305796,0.15705247,0.24638972,0.26674333,sensitive,0.26674333,sensitive,True
happy_01_masked.jpg,0.019214634,0.06252828,0.23673439,0.059958663,0.07944991,0.23713525,0.050331227,0.112959206,0.14168854,lovely,0.23713525,happy,False
happy_06_masked.jpg,0.028676426,0.09142965,0.12484943,0.020439114,0.2557438,0.11819221,0.14792764,0.045929186,0.16681258,happy,0.2557438,happy,True
gloomy_01_masked.jpg,0.023399275,0.03570046,0.12636507,0.04265799,0.19888547,0.08143334,0.2397928,0.120241925,0.13152373,ordinary,0.2397928,gloomy,False
excited_03_masked.jpg,0.0021529912,0.028431209,0.15757284,0.005730708,0.08136629,0.09403345,0.14782651,0.3589159,0.12397014,peaceful,0.3589159,excited,False
ordinary_01_masked.jpg,0.003617356,0.033017684,0.40118346,0.04646313,0.07574651,0.113438405,0.10973563,0.07644871,0.14034918,excited,0.40118346,ordinary,False
lovely_03_masked.jpg,0.013957275,0.044831164,0.14440794,0.011919656,0.05799448,0.07224664,0.13243002,0.34565434,0.17655845,peaceful,0.34565434,lovely,False
gloomy_04_masked.jpg,0.014751082,0.03131124,0.08556316,0.20996058,0.039445534,0.0676197,0.12037261,0.3950255,0.03595059,peaceful,0.3950255,gloomy,False
delicious_01_masked.jpg,0.0010335413,0.71656036,0.046887327,0.00028046337,0.09389658,0.11211765,0.022547688,0.0051231603,0.0015532348,delicious,0.71656036,delicious,True
sensitive_03_masked.jpg,0.0043058894,0.0060447636,0.049316186,0.13271584,0.038667176,0.08525121,0.12939419,0.46059215,0.09371268,peaceful,0.46059215,sensitive,False
happy_03_masked.jpg,0.012663477,0.027686441,0.20259167,0.023504797,0.1555886,0.0975876,0.108387396,0.07382361,0.29816642,sensitive,0.29816642,happy,False
ordinary_02_masked.jpg,0.07330621,0.07091204,0.2152285,0.0391435,0.18575776,0.15354308,0.10023785,0.040935356,0.12093575,excited,0.2152285,ordinary,False
delicious_02_masked.jpg,0.0025814152,0.9607848,0.0016737337,0.0001068526,0.0065497146,0.021028923,0.006540851,0.00068161194,5.2184125e-05,delicious,0.9607848,delicious,True
happy_05_masked.jpg,0.026070032,0.05670753,0.17916876,0.032349702,0.20221055,0.26000375,0.035289574,0.057348847,0.15085134,lovely,0.26000375,happy,False
happy_08_masked.jpg,0.0104195895,0.025814075,0.17976646,0.072505705,0.14179556,0.08576943,0.18474238,0.18044527,0.11874158,ordinary,0.18474238,happy,False
gloomy_02_masked.jpg,0.001479098,0.00062780484,0.0018488814,0.9374319,0.001887553,0.011892988,0.0037470658,0.014373673,0.026711086,gloomy,0.9374319,gloomy,True
lovely_05_masked.jpg,0.08020901,0.00241064,0.05130998,0.064597555,0.026976336,0.053548355,0.22933906,0.21432357,0.2772855,sensitive,0.2772855,lovely,False
excited_02_masked.jpg,0.02571664,0.032207202,0.25885794,0.04196823,0.06619212,0.1303883,0.2047977,0.115796916,0.12407496,excited,0.25885794,excited,True
cozy_02_masked.jpg,0.048908625,0.056681238,0.16755877,0.08616061,0.15660074,0.1493178,0.15288034,0.053775687,0.12811622,excited,0.16755877,cozy,False
lovely_02_masked.jpg,0.06320783,0.084128186,0.28658533,0.045203198,0.14430356,0.15198123,0.09249478,0.0369201,0.09517584,excited,0.28658533,lovely,False
peaceful_01_masked.jpg,0.0048610806,0.009468158,0.017264295,0.038458657,0.029097361,0.14227743,0.020418033,0.703275,0.034879956,peaceful,0.703275,peaceful,True
happy_02_masked.jpg,0.0026701556,0.0033850444,0.06499744,0.00018356444,0.7819582,0.053834535,0.011569836,0.034195106,0.047206033,happy,0.7819582,happy,True
sensitive_02_masked.jpg,0.0028990486,0.0007564856,0.008003889,0.0043460396,0.007274347,0.031605557,0.013232451,0.9212833,0.010598881,peaceful,0.9212833,sensitive,False
happy_07_masked.jpg,0.20294237,0.031464823,0.11488342,0.0048210276,0.04533969,0.029923895,0.056963265,0.4335242,0.080137335,peaceful,0.4335242,happy,False

match_rate,0.3548
