image,cozy,delicious,excited,gloomy,happy,lovely,ordinary,peaceful,sensitive,best_mood,best_score,label,match
gloomy_01_mtcnn5.jpg,0.007970795,0.067612596,0.10541503,0.051190216,0.2923739,0.20058855,0.10468449,0.021107951,0.14905651,happy,0.2923739,gloomy,False
lovely_03_mtcnn1.jpg,0.06918506,0.28664875,0.093353495,0.0580981,0.120422825,0.09245809,0.15914136,0.065390006,0.05530231,delicious,0.28664875,lovely,False
lovely_03_mtcnn0.jpg,0.009949173,0.08954333,0.0922989,0.14644036,0.13796793,0.10452375,0.101166934,0.047195647,0.27091393,sensitive,0.27091393,lovely,False
gloomy_01_mtcnn4.jpg,0.012577362,0.048137598,0.077234015,0.2785418,0.13071112,0.16398475,0.07508027,0.12831576,0.08541724,gloomy,0.2785418,gloomy,True
ordinary_01_mtcnn0.jpg,0.007929138,0.06807517,0.066947065,0.06111339,0.35508236,0.16949105,0.087038256,0.05616076,0.12816277,happy,0.35508236,ordinary,False
happy_03_mtcnn0.jpg,0.00084781006,0.024410388,0.16883744,0.0035116498,0.58563983,0.09335299,0.034125928,0.002680638,0.08659337,happy,0.58563983,happy,True
lovely_03_mtcnn2.jpg,0.00905697,0.11919982,0.16467892,0.046120357,0.21237631,0.12465591,0.1429476,0.021825101,0.15913899,happy,0.21237631,lovely,False
delicious_01_mtcnn0.jpg,0.006146194,0.3462877,0.106197774,0.026497766,0.14273502,0.13973072,0.07938705,0.02147095,0.13154684,delicious,0.3462877,delicious,True
happy_06_mtcnn0.jpg,0.006758595,0.104870476,0.14035736,0.048845727,0.22299197,0.047523484,0.16427882,0.018293232,0.24608031,sensitive,0.24608031,happy,False
gloomy_01_mtcnn3.jpg,0.010148252,0.037909336,0.081255235,0.08677616,0.16418423,0.13683245,0.23368466,0.019996373,0.22921331,ordinary,0.23368466,gloomy,False
gloomy_01_mtcnn2.jpg,0.008226047,0.022452557,0.15675884,0.042926494,0.21498398,0.19218734,0.094806686,0.050423816,0.21723415,sensitive,0.21723415,gloomy,False
gloomy_01_mtcnn0.jpg,0.005224816,0.13387594,0.11257927,0.048884,0.2385236,0.10186765,0.12166269,0.009598787,0.22778322,happy,0.2385236,gloomy,False
gloomy_01_mtcnn1.jpg,0.0041594557,0.018333312,0.03434953,0.02412223,0.4433215,0.12543634,0.10457854,0.009774578,0.23592457,happy,0.4433215,gloomy,False
cozy_01_mtcnn0.jpg,0.01518803,0.18083294,0.08603801,0.026790485,0.20089474,0.16039562,0.027984444,0.07306381,0.22881193,sensitive,0.22881193,cozy,False
lovely_01_mtcnn0.jpg,0.005992568,0.09608265,0.069083355,0.02621083,0.14016414,0.08818705,0.19755872,0.020595457,0.3561253,sensitive,0.3561253,lovely,False
happy_07_mtcnn9.jpg,0.015566075,0.036465984,0.06126678,0.25333756,0.15452076,0.17800842,0.14219572,0.0730842,0.08555449,gloomy,0.25333756,happy,False
excited_01_mtcnn0.jpg,0.009924669,0.06834757,0.09101038,0.044338338,0.38893116,0.14948343,0.07318261,0.055115577,0.11966626,happy,0.38893116,excited,False
peaceful_02_mtcnn0.jpg,0.010779754,0.10487753,0.07641283,0.12545496,0.111433916,0.23532408,0.08545059,0.15077008,0.09949625,lovely,0.23532408,peaceful,False
happy_07_mtcnn8.jpg,0.0087784715,0.051664703,0.08511264,0.054915134,0.21288015,0.23971583,0.11912217,0.16615212,0.061658833,lovely,0.23971583,happy,False
lovely_01_mtcnn1.jpg,0.0019101806,0.03556878,0.060467042,0.015110922,0.41303837,0.18774533,0.09216009,0.011976066,0.18202318,happy,0.41303837,lovely,False
sensitive_01_mtcnn1.jpg,0.012185741,0.07626693,0.23049362,0.013719704,0.37321934,0.11154939,0.04627094,0.119316734,0.016977575,happy,0.37321934,sensitive,False
sensitive_01_mtcnn0.jpg,0.008777672,0.05765046,0.20660865,0.028859874,0.24366933,0.20727888,0.13412549,0.053228952,0.059800703,happy,0.24366933,sensitive,False
happy_04_mtcnn1.jpg,0.003930606,0.042584315,0.2101141,0.028880619,0.21479547,0.2734619,0.07059586,0.09039946,0.065237716,lovely,0.2734619,happy,False
happy_04_mtcnn0.jpg,0.0016053865,0.05393833,0.16205119,0.004749319,0.26595497,0.1153903,0.15251376,0.011182022,0.23261471,happy,0.26595497,happy,True
happy_04_mtcnn2.jpg,0.0047858376,0.08712908,0.18340823,0.028545199,0.2935633,0.17401777,0.10614529,0.039583113,0.08282212,happy,0.2935633,happy,True
happy_04_mtcnn3.jpg,0.015740342,0.047166098,0.071541145,0.052231815,0.3608683,0.11174808,0.17911565,0.018442946,0.1431457,happy,0.3608683,happy,True
happy_07_mtcnn0.jpg,0.01591123,0.058947146,0.066935524,0.011665776,0.37979898,0.12512335,0.1374316,0.036551792,0.16763453,happy,0.37979898,happy,True
happy_07_mtcnn1.jpg,0.004705189,0.03413232,0.06215273,0.0056466786,0.5440378,0.09780328,0.094353326,0.00839522,0.14877337,happy,0.5440378,happy,True
happy_07_mtcnn3.jpg,0.007875613,0.17723653,0.19325899,0.0059975674,0.4095704,0.059907332,0.058188684,0.032939404,0.05502546,happy,0.4095704,happy,True
happy_07_mtcnn2.jpg,0.0059129754,0.029949803,0.07491204,0.023618069,0.26011127,0.18870784,0.12372363,0.11332512,0.17973927,happy,0.26011127,happy,True
happy_07_mtcnn6.jpg,0.0055702757,0.047452215,0.09275589,0.17300977,0.19759806,0.16772936,0.1638358,0.10405321,0.04799554,happy,0.19759806,happy,True
happy_02_mtcnn2.jpg,0.0011501968,0.026799569,0.10599718,0.004028949,0.72387725,0.0975667,0.020278513,0.001087741,0.019213965,happy,0.72387725,happy,True
lovely_02_mtcnn0.jpg,0.0067040916,0.0627043,0.049399436,0.0682414,0.12721603,0.09109425,0.14137049,0.023166303,0.4301037,sensitive,0.4301037,lovely,False
happy_07_mtcnn7.jpg,0.0035924653,0.021370292,0.07558081,0.083664484,0.1085627,0.14675258,0.15384145,0.3239563,0.082678884,peaceful,0.3239563,happy,False
happy_07_mtcnn5.jpg,0.015052135,0.18709056,0.16266526,0.052778363,0.14007306,0.124326944,0.06557845,0.07243743,0.17999771,delicious,0.18709056,happy,False
sensitive_02_mtcnn0.jpg,0.041419536,0.07345973,0.11918257,0.22667578,0.09186907,0.14931603,0.1181987,0.056095272,0.12378332,gloomy,0.22667578,sensitive,False
happy_02_mtcnn0.jpg,0.0057443916,0.07523306,0.076419115,0.0066124224,0.41498557,0.12469778,0.10971344,0.03593818,0.150656,happy,0.41498557,happy,True
