image,cozy,delicious,excited,gloomy,happy,lovely,ordinary,peaceful,sensitive,best_mood,best_score,label,match
excited_03_yolo0.jpg,0.0026195836,0.24675666,0.053340953,0.004316188,0.2763612,0.2628044,0.035204813,0.021761034,0.09683517,happy,0.2763612,excited,False
ordinary_02_yolo0.jpg,0.055558898,0.11874343,0.05642209,0.016340906,0.04271475,0.25680962,0.34329876,0.05308317,0.05702841,ordinary,0.34329876,ordinary,True
excited_03_yolo1.jpg,0.040138014,0.015693258,0.07186367,0.08752796,0.25786126,0.11907402,0.28811365,0.05424596,0.065482184,ordinary,0.28811365,excited,False
happy_06_yolo0.jpg,0.0013454091,0.0038054124,0.17244762,0.00011094894,0.7611402,0.031157799,0.0142469965,0.0026554458,0.013090172,happy,0.7611402,happy,True
peaceful_01_yolo0.jpg,0.0040874393,0.007151234,0.017536364,0.040253766,0.119168945,0.14077736,0.08235751,0.4226421,0.16602534,peaceful,0.4226421,peaceful,True
lovely_02_yolo0.jpg,0.021083428,0.057980955,0.37578198,0.02182521,0.08492539,0.18637645,0.09916766,0.03716561,0.11569332,excited,0.37578198,lovely,False
sensitive_01_yolo0.jpg,0.0316236,0.022324158,0.18905738,0.0011576557,0.091922946,0.24506147,0.056948487,0.09233819,0.2695661,sensitive,0.2695661,sensitive,True
cozy_01_yolo2.jpg,0.5360843,0.02338175,0.03219062,0.03627049,0.15714638,0.09597155,0.060608093,0.028745838,0.029601023,cozy,0.5360843,cozy,True
gloomy_04_yolo0.jpg,0.12357747,0.017785238,0.042688172,0.111634426,0.2385055,0.1681011,0.23862107,0.014245311,0.04484173,ordinary,0.23862107,gloomy,False
excited_02_yolo0.jpg,0.0065583074,0.033852722,0.11119354,0.0031606657,0.21222521,0.23167521,0.21344548,0.10722809,0.08066076,lovely,0.23167521,excited,False
happy_07_yolo3.jpg,0.17806281,0.011355309,0.013914089,0.1523206,0.07551109,0.14849156,0.03196902,0.2818939,0.10648162,peaceful,0.2818939,happy,False
lovely_05_yolo0.jpg,0.11736446,0.0043882816,0.03654916,0.020281805,0.08020554,0.18817887,0.12805666,0.38252977,0.04244542,peaceful,0.38252977,lovely,False
happy_07_yolo1.jpg,0.05322321,0.03191406,0.08106845,0.007209287,0.59780145,0.1321404,0.013971129,0.04592391,0.036748134,happy,0.59780145,happy,True
happy_07_yolo0.jpg,0.02420596,0.42939165,0.027201273,0.0023229974,0.34589764,0.06761953,0.028863298,0.06108601,0.0134116765,delicious,0.42939165,happy,False
lovely_03_yolo0.jpg,0.0020222766,0.102817915,0.06814697,0.00071294775,0.09287461,0.29502037,0.059926048,0.2832333,0.0952455,lovely,0.29502037,lovely,True
happy_07_yolo4.jpg,0.018896736,0.030321967,0.10903065,0.0016969185,0.39120218,0.10212829,0.027546609,0.17231563,0.14686096,happy,0.39120218,happy,True
happy_01_yolo2.jpg,0.011854993,0.003636559,0.18631367,0.0012570057,0.57986,0.07341041,0.04810214,0.06522,0.03034528,happy,0.57986,happy,True
happy_01_yolo0.jpg,0.008694615,0.0042539695,0.2155628,0.0006538379,0.5844625,0.07239052,0.0383462,0.04604222,0.029593354,happy,0.5844625,happy,True
happy_01_yolo1.jpg,0.012402747,0.012000469,0.12072401,0.010619017,0.10367851,0.097034074,0.32344723,0.09163324,0.22846077,ordinary,0.32344723,happy,False
happy_04_yolo0.jpg,0.0020920283,0.03242665,0.07214944,0.00093102007,0.17800236,0.32203424,0.063069254,0.20071639,0.12857859,lovely,0.32203424,happy,False
cozy_02_yolo1.jpg,0.90085185,0.009459095,0.0013616622,0.01848324,0.003928821,0.01085923,0.0035109543,0.049814116,0.0017309819,cozy,0.90085185,cozy,True
gloomy_01_yolo0.jpg,0.012195082,0.122818775,0.17773828,0.0037839757,0.12737902,0.13600454,0.08173743,0.13144954,0.20689343,sensitive,0.20689343,gloomy,False
sensitive_03_yolo0.jpg,0.01934309,0.0071746497,0.007991697,0.08264893,0.15743235,0.13796179,0.10052998,0.27925503,0.20766251,peaceful,0.27925503,sensitive,False
gloomy_01_yolo1.jpg,0.003057769,0.08250738,0.3344747,0.00080354797,0.36333764,0.07761621,0.022427008,0.035357278,0.08041844,happy,0.36333764,gloomy,False
happy_08_yolo0.jpg,0.0009547132,0.030146772,0.14903659,0.00018701871,0.6442198,0.10548723,0.009570282,0.029275596,0.031121893,happy,0.6442198,happy,True
ordinary_01_yolo0.jpg,0.001707407,0.043249663,0.032819748,0.0027182577,0.25126523,0.37348613,0.16159593,0.013049391,0.120108284,lovely,0.37348613,ordinary,False
happy_05_yolo0.jpg,0.1380905,0.0063716564,0.146514,0.0011407115,0.5454808,0.06810468,0.016760109,0.01283903,0.06469851,happy,0.5454808,happy,True
lovely_01_yolo1.jpg,0.0787913,0.0051161824,0.04307693,0.0017421383,0.37227765,0.3745568,0.022956006,0.019042453,0.08244054,lovely,0.3745568,lovely,True
lovely_01_yolo0.jpg,0.036122587,0.0048276344,0.035387576,0.0016224304,0.3449592,0.46298814,0.016940458,0.021851862,0.07530014,lovely,0.46298814,lovely,True
peaceful_02_yolo0.jpg,0.49465448,0.010540799,0.008359287,0.008129529,0.010556976,0.0651631,0.020597575,0.35340506,0.028593192,cozy,0.49465448,peaceful,False
lovely_01_yolo2.jpg,0.025237529,0.028738778,0.1361297,0.046042316,0.09612364,0.07416718,0.2238696,0.01904262,0.35064864,sensitive,0.35064864,lovely,False
happy_03_yolo0.jpg,0.00034444523,0.009011737,0.19581002,0.0002223914,0.67101437,0.04050383,0.024267776,0.015694117,0.04313132,happy,0.67101437,happy,True

match_rate,0.5000
